运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号
P00107,leg1-cruise,630.6969096720559,635.6244574361918,直连,
P00035,leg1-cruise,631.4911256445873,636.2551944448185,直连,
P00024,leg1-cruise,632.4937307620854,637.3684308471029,直连,
P00011,leg1-cruise,633.1961049832038,638.0158524199551,直连,
P00137,leg1-descent,633.7364805598828,642.642141570625,直连,
P00146,leg1-descent,633.7364805598828,642.642141570625,直连,
P00057,leg1-cruise,634.0259920648344,638.8556256409474,直连,
P00020,leg1-cruise,635.4676433043576,640.3999430118824,直连,
P00107,leg1-cruise,635.6244574361918,640.5520052003278,直连,
P00035,leg1-cruise,636.2551944448185,641.0192632450496,直连,
P00024,leg1-cruise,637.3684308471029,642.2431309321204,直连,
P00011,leg1-cruise,638.0158524199551,642.8355998567065,直连,
P00057,leg1-cruise,638.8556256409474,643.6852592170605,直连,
P00020,leg1-cruise,640.3999430118824,645.3322427194073,直连,
P00107,leg1-cruise,640.5520052003278,645.4795529644638,直连,
P00035,leg1-cruise,641.0192632450496,645.7833320452809,直连,
P00024,leg1-cruise,642.2431309321204,647.1178310171379,直连,
P00137,leg1-descent,642.642141570625,651.5478025813673,直连,
P00146,leg1-descent,642.642141570625,651.5478025813673,直连,
P00011,leg1-cruise,642.8355998567065,647.6553472934579,直连,
P00057,leg1-cruise,643.6852592170605,648.5148927931737,直连,
P00020,leg1-cruise,645.3322427194073,650.2645424269323,直连,
P00107,leg1-cruise,645.4795529644638,650.4071007285997,直连,
P00035,leg1-cruise,645.7833320452809,650.5474008455121,直连,
P00024,leg1-cruise,647.1178310171379,651.9925311021553,直连,
P00011,leg1-cruise,647.6553472934579,652.4750947302092,直连,
P00057,leg1-cruise,648.5148927931737,653.3445263692868,直连,
P00020,leg1-cruise,650.2645424269323,655.1968421344573,直连,
P00107,leg1-cruise,650.4071007285997,655.3346484927358,直连,
P00035,leg1-cruise,650.5474008455121,655.3114696457433,直连,
P00137,leg1-descent,651.5478025813673,660.4534635921094,直连,
P00146,leg1-descent,651.5478025813673,660.4534635921094,直连,
P00024,leg1-cruise,651.9925311021553,656.8672311871728,直连,
P00011,leg1-cruise,652.4750947302092,657.2948421669605,直连,
P00057,leg1-cruise,653.3445263692868,658.1741599453999,直连,
P00020,leg1-cruise,655.1968421344573,660.1291418419821,直连,
P00035,leg1-cruise,655.3114696457433,660.0755384459744,直连,
P00107,leg1-cruise,655.3346484927358,660.2621962568718,直连,
P00024,leg1-cruise,656.8672311871728,661.7419312721903,直连,
P00011,leg1-cruise,657.2948421669605,662.1145896037119,直连,
P00057,leg1-cruise,658.1741599453999,663.003793521513,直连,
P00035,leg1-cruise,660.0755384459744,664.8396072462057,直连,
P00020,leg1-cruise,660.1291418419821,665.061441549507,直连,
P00107,leg1-cruise,660.2621962568718,665.1897440210078,直连,
P00137,leg1-descent,660.4534635921094,669.3591246028516,直连,
P00146,leg1-descent,660.4534635921094,669.3591246028516,直连,
P00024,leg1-cruise,661.7419312721903,666.6166313572078,直连,
P00011,leg1-cruise,662.1145896037119,666.9343370404633,直连,
P00057,leg1-cruise,663.003793521513,667.8334270976261,直连,
P00035,leg1-cruise,664.8396072462057,669.6036760464369,直连,
P00020,leg1-cruise,665.061441549507,669.993741257032,直连,
P00107,leg1-cruise,665.1897440210078,670.1172917851438,直连,
P00024,leg1-cruise,666.6166313572078,671.4913314422253,直连,
P00011,leg1-cruise,666.9343370404633,671.7540844772147,直连,
P00057,leg1-cruise,667.8334270976261,672.6630606737392,直连,
P00137,S001-handoff,669.3591246028516,679.2725406836075,直连,
P00146,S001-handoff,669.3591246028516,679.2725406836075,直连,
P00035,leg1-cruise,669.6036760464369,674.3677448466681,直连,
P00020,leg1-cruise,669.993741257032,674.9260409645569,直连,
P00107,leg1-cruise,670.1172917851438,675.0448395492798,直连,
P00024,leg1-cruise,671.4913314422253,676.3660315272427,直连,
P00011,leg1-cruise,671.7540844772147,676.573831913966,直连,
P00057,leg1-cruise,672.6630606737392,677.4926942498523,直连,
P00035,leg1-cruise,674.3677448466681,679.1318136468993,直连,
P00020,leg1-cruise,674.9260409645569,679.8583406720818,直连,
P00107,leg1-cruise,675.0448395492798,679.9723873134158,直连,
P00024,leg1-cruise,676.3660315272427,681.2407316122602,直连,
P00011,leg1-cruise,676.573831913966,681.3935793507173,直连,
P00057,leg1-cruise,677.4926942498523,682.3223278259653,直连,
P00035,leg1-cruise,679.1318136468993,683.8958824471306,直连,
P00137,S001-handoff,679.2725406836075,689.1859567643636,直连,
P00146,S001-handoff,679.2725406836075,689.1859567643636,直连,
P00020,leg1-cruise,679.8583406720818,684.7906403796067,直连,
P00107,leg1-cruise,679.9723873134158,684.8999350775517,直连,
P00024,leg1-cruise,681.2407316122602,686.1154316972777,直连,
P00011,leg1-cruise,681.3935793507173,686.2133267874688,直连,
P00057,leg1-cruise,682.3223278259653,687.1519614020784,直连,
P00035,leg1-cruise,683.8958824471306,688.6599512473617,直连,
P00020,leg1-cruise,684.7906403796067,689.7229400871315,直连,
P00107,leg1-cruise,684.8999350775517,689.8274828416877,直连,
P00024,leg1-cruise,686.1154316972777,690.9901317822952,直连,
P00011,leg1-cruise,686.2133267874688,691.0330742242202,直连,
P00057,leg1-cruise,687.1519614020784,691.9815949781915,直连,
P00035,leg1-cruise,688.6599512473617,693.424020047593,直连,
P00137,S001-handoff,689.1859567643636,699.0993728451195,直连,
P00146,S001-handoff,689.1859567643636,699.0993728451195,直连,
P00020,leg1-cruise,689.7229400871315,694.6552397946565,直连,
P00107,leg1-cruise,689.8274828416877,694.7550306058238,直连,
P00024,leg1-cruise,690.9901317822952,695.8648318673127,直连,
P00011,leg1-cruise,691.0330742242202,695.8528216609716,直连,
P00057,leg1-cruise,691.9815949781915,696.8112285543046,直连,
P00035,leg1-cruise,693.424020047593,698.1880888478242,直连,
P00020,leg1-cruise,694.6552397946565,699.5875395021815,直连,
P00107,leg1-cruise,694.7550306058238,699.6825783699597,直连,
P00011,leg1-cruise,695.8528216609716,700.6725690977229,直连,
P00024,leg1-cruise,695.8648318673127,700.7395319523301,直连,
P00057,leg1-cruise,696.8112285543046,701.6408621304178,直连,
P00035,leg1-cruise,698.1880888478242,702.9521576480554,直连,
P00137,S001-handoff,699.0993728451195,709.0127889258756,直连,
P00146,S001-handoff,699.0993728451195,709.0127889258756,直连,
P00020,leg1-cruise,699.5875395021815,704.5198392097063,直连,
P00107,leg1-cruise,699.6825783699597,704.6101261340957,直连,
P00011,leg1-cruise,700.6725690977229,705.4923165344742,直连,
P00024,leg1-cruise,700.7395319523301,705.6142320373476,直连,
P00057,leg1-cruise,701.6408621304178,706.4704957065308,直连,
P00035,leg1-cruise,702.9521576480554,707.7162264482865,直连,
P00020,leg1-cruise,704.5198392097063,709.4521389172312,直连,
P00107,leg1-cruise,704.6101261340957,709.5376738982318,直连,
P00011,leg1-cruise,705.4923165344742,710.3120639712256,直连,
P00024,leg1-cruise,705.6142320373476,710.488932122365,直连,
P00057,leg1-cruise,706.4704957065308,711.3001292826439,直连,
P00035,leg1-cruise,707.7162264482865,712.4802952485178,直连,
P00137,S001-handoff,709.0127889258756,718.9262050066316,直连,
P00146,S001-handoff,709.0127889258756,718.9262050066316,直连,
P00020,leg1-cruise,709.4521389172312,714.3844386247562,直连,
P00107,leg1-cruise,709.5376738982318,714.4652216623678,直连,
P00011,leg1-cruise,710.3120639712256,715.131811407977,直连,
P00024,leg1-cruise,710.488932122365,715.3636322073825,直连,
P00057,leg1-cruise,711.3001292826439,716.129762858757,直连,
P00035,leg1-cruise,712.4802952485178,717.244364048749,直连,
P00020,leg1-cruise,714.3844386247562,719.3167383322811,直连,
P00107,leg1-cruise,714.4652216623678,719.3927694265037,直连,
P00011,leg1-cruise,715.131811407977,719.9515588447283,直连,
P00024,leg1-cruise,715.3636322073825,720.2383322924,直连,
P00057,leg1-cruise,716.129762858757,720.9593964348701,直连,
P00035,leg1-cruise,717.244364048749,722.0084328489802,直连,
P00137,S001-handoff,718.9262050066316,728.8396210873876,直连,
P00146,S001-handoff,718.9262050066316,728.8396210873876,直连,
P00020,leg1-cruise,719.3167383322811,724.249038039806,直连,
P00107,leg1-cruise,719.3927694265037,724.3203171906397,直连,
P00011,leg1-cruise,719.9515588447283,724.7713062814796,直连,
P00024,leg1-cruise,720.2383322924,725.1130323774174,直连,
P00057,leg1-cruise,720.9593964348701,725.7890300109832,直连,
P00035,leg1-cruise,722.0084328489802,726.7725016492114,直连,
P00020,leg1-cruise,724.249038039806,729.1813377473309,直连,
P00107,leg1-cruise,724.3203171906397,729.2478649547757,直连,
P00011,leg1-cruise,724.7713062814796,729.591053718231,直连,
P00024,leg1-cruise,725.1130323774174,729.9877324624349,直连,
P00057,leg1-cruise,725.7890300109832,730.6186635870963,直连,
P00035,leg1-cruise,726.7725016492114,731.5365704494427,直连,
P00137,S001-handoff,728.8396210873876,738.7530371681436,直连,
P00146,S001-handoff,728.8396210873876,738.7530371681436,直连,
P00020,leg1-cruise,729.1813377473309,734.1136374548557,直连,
P00107,leg1-cruise,729.2478649547757,734.1754127189117,直连,
P00011,leg1-cruise,729.591053718231,734.4108011549824,直连,
P00024,leg1-cruise,729.9877324624349,734.8624325474524,直连,
P00057,leg1-cruise,730.6186635870963,735.4482971632094,直连,
P00035,leg1-cruise,731.5365704494427,736.3006392496738,直连,
P00020,leg1-cruise,734.1136374548557,739.0459371623807,直连,
P00107,leg1-cruise,734.1754127189117,739.1029604830477,直连,
P00011,leg1-cruise,734.4108011549824,739.2305485917337,直连,
P00024,leg1-cruise,734.8624325474524,739.7371326324699,直连,
P00057,leg1-cruise,735.4482971632094,740.2779307393225,直连,
P00035,leg1-cruise,736.3006392496738,741.0647080499051,直连,
P00137,S001-handoff,738.7530371681436,748.6664532488996,直连,
P00146,S001-handoff,738.7530371681436,748.6664532488996,直连,
P00020,leg1-cruise,739.0459371623807,743.9782368699057,直连,
P00107,leg1-cruise,739.1029604830477,744.0305082471837,直连,
P00011,leg1-cruise,739.2305485917337,744.050296028485,直连,
P00024,leg1-cruise,739.7371326324699,744.6118327174873,直连,
P00057,leg1-cruise,740.2779307393225,745.1075643154356,直连,
P00035,leg1-cruise,741.0647080499051,745.8287768501364,直连,
P00020,leg1-cruise,743.9782368699057,748.9105365774305,直连,
P00107,leg1-cruise,744.0305082471837,748.9580560113197,直连,
P00011,leg1-cruise,744.050296028485,748.8700434652364,直连,
P00024,leg1-cruise,744.6118327174873,749.4865328025048,直连,
P00057,leg1-cruise,745.1075643154356,749.9371978915486,直连,
P00035,leg1-cruise,745.8287768501364,750.5928456503675,直连,
P00137,S001-handoff,748.6664532488996,758.5798693296556,直连,
P00146,S001-handoff,748.6664532488996,758.5798693296556,直连,
P00011,leg1-cruise,748.8700434652364,753.6897909019879,直连,
P00020,leg1-cruise,748.9105365774305,753.8428362849554,直连,
P00107,leg1-cruise,748.9580560113197,753.8856037754557,直连,
P00024,leg1-cruise,749.4865328025048,754.3612328875223,直连,
P00057,leg1-cruise,749.9371978915486,754.7668314676617,直连,
P00035,leg1-cruise,750.5928456503675,755.3569144505987,直连,
P00011,leg1-cruise,753.6897909019879,758.5095383387392,直连,
P00020,leg1-cruise,753.8428362849554,758.7751359924803,直连,
P00107,leg1-cruise,753.8856037754557,758.8131515395917,直连,
P00024,leg1-cruise,754.3612328875223,759.2359329725398,直连,
P00057,leg1-cruise,754.7668314676617,759.5964650437749,直连,
P00035,leg1-cruise,755.3569144505987,760.1209832508299,直连,
P00011,leg1-cruise,758.5095383387392,763.3292857754905,直连,
P00137,S001-handoff,758.5798693296556,768.4932854104117,直连,
P00146,S001-handoff,758.5798693296556,768.4932854104117,直连,
P00020,leg1-cruise,758.7751359924803,763.7074357000052,直连,
P00107,leg1-cruise,758.8131515395917,763.7406993037276,直连,
P00024,leg1-cruise,759.2359329725398,764.1106330575573,直连,
P00057,leg1-cruise,759.5964650437749,764.426098619888,直连,
P00035,leg1-cruise,760.1209832508299,764.8850520510612,直连,
P00011,leg1-cruise,763.3292857754905,768.1490332122419,直连,
P00020,leg1-cruise,763.7074357000052,768.6397354075302,直连,
P00107,leg1-cruise,763.7406993037276,768.6682470678636,直连,
P00024,leg1-cruise,764.1106330575573,768.9853331425747,直连,
P00057,leg1-cruise,764.426098619888,769.2557321960011,直连,
P00035,leg1-cruise,764.8850520510612,769.6491208512923,直连,
P00011,leg1-cruise,768.1490332122419,772.9687806489933,直连,
P00137,S001-handoff,768.4932854104117,778.4067014911676,直连,
P00146,S001-handoff,768.4932854104117,778.4067014911676,直连,
P00020,leg1-cruise,768.6397354075302,773.5720351150551,直连,
P00107,leg1-cruise,768.6682470678636,773.5957948319997,直连,
P00024,leg1-cruise,768.9853331425747,773.8600332275922,直连,
P00057,leg1-cruise,769.2557321960011,774.0853657721141,直连,
P00035,leg1-cruise,769.6491208512923,774.4131896515236,直连,
P00011,leg1-cruise,772.9687806489933,777.7885280857446,直连,
P00020,leg1-cruise,773.5720351150551,778.50433482258,直连,
P00107,leg1-cruise,773.5957948319997,778.5233425961356,直连,
