sortie,phase,start_s,end_s,direct_available,reason,gap_id
Q2-022,leg3-cruise,6224.673557074716,6375.801153674298,True,,
Q2-011,leg1-climb,6240.617303655575,6322.353747747372,True,,
Q2-012,leg1-climb,6304.244605920693,6452.277691044391,True,,
Q2-011,leg1-cruise,6322.353747747372,6592.6695205783035,True,,
Q2-022,leg3-descent,6375.801153674298,6562.866391101055,True,,
Q2-023,leg1-descent,6414.24612125974,6465.2507873974355,False,,12
Q2-012,leg1-cruise,6452.277691044391,6652.914822662326,True,,
Q2-023,S008-handoff,6465.2507873974355,6753.2507873974355,False,,12
Q2-011,leg1-cruise,6592.6695205783035,6862.985293409234,False,,13
Q2-012,leg1-cruise,6652.914822662326,6853.55195428026,False,,14
Q2-023,leg2-climb,6753.2507873974355,6794.054520307592,False,,12
Q2-023,leg2-cruise,6794.054520307592,7064.370293138523,False,,12
Q2-012,leg1-descent,6853.55195428026,6892.471656428698,False,,14
Q2-011,leg1-descent,6862.985293409234,6903.78902631939,False,,13
Q2-012,S015-handoff,6892.471656428698,7102.471656428698,False,,14
Q2-011,S008-handoff,6903.78902631939,7113.78902631939,False,,13
Q2-024,leg1-climb,6982.866391101056,7091.082057604963,True,,
Q2-023,leg2-cruise,7064.370293138523,7334.686065969454,True,,
Q2-024,leg1-cruise,7091.082057604963,7349.270805655016,True,,
Q2-012,leg2-climb,7102.471656428698,7134.904741552396,False,,14
Q2-011,leg2-climb,7113.78902631939,7147.792137077854,False,,13
Q2-012,leg2-cruise,7134.904741552396,7335.541873170331,False,,14
Q2-011,leg2-cruise,7147.792137077854,7418.107909908786,False,,13
Q2-023,leg2-descent,7334.686065969454,7457.290732107149,True,,
Q2-012,leg2-cruise,7335.541873170331,7536.179004788266,True,,
Q2-024,leg1-cruise,7349.270805655016,7607.459553705069,False,,15
Q2-011,leg2-cruise,7418.107909908786,7688.423682739716,True,,
Q2-012,leg2-descent,7536.179004788266,7713.818706936703,True,,
Q2-024,leg1-descent,7607.459553705069,7692.429136834952,False,,15
Q2-011,leg2-descent,7688.423682739716,7786.507415649872,True,,
Q2-024,S004-handoff,7692.429136834952,8016.429136834952,False,,15
Q2-024,leg2-climb,8016.429136834952,8084.404803338858,False,,15
Q2-024,leg2-cruise,8084.404803338858,8342.59355138891,False,,15
Q2-013,leg1-climb,8103.818706936703,8158.9950110545415,True,,
Q2-014,leg1-climb,8146.507415649872,8212.744378540498,True,,
Q2-013,leg1-cruise,8158.9950110545415,8349.751024161696,True,,
Q2-014,leg1-cruise,8212.744378540498,8389.478382912166,True,,
Q2-024,leg2-cruise,8342.59355138891,8600.782299438964,True,,
Q2-013,leg1-cruise,8349.751024161696,8540.507037268851,False,,16
Q2-014,leg1-cruise,8389.478382912166,8566.212387283837,False,,17
Q2-013,leg1-descent,8540.507037268851,8565.798602210258,False,,16
Q2-013,S009-handoff,8565.798602210258,8775.798602210258,False,,16
Q2-014,leg1-descent,8566.212387283837,8618.776742752587,False,,17
Q2-024,leg2-descent,8600.782299438964,8736.051882568847,True,,
Q2-014,S005-handoff,8618.776742752587,8828.776742752587,False,,17
Q2-013,leg2-climb,8775.798602210258,8819.43847444333,False,,16
Q2-013,leg2-cruise,8819.43847444333,9017.296562370104,False,,16
Q2-014,leg2-climb,8828.776742752587,8872.580372309878,False,,17
Q2-014,leg2-cruise,8872.580372309878,9049.314376681548,False,,17
